topic,query,title,url,timestamp,search_depth
vaccine reluctancy,site:facebook.com developing countries and anti-vax,ANTI-VAX - Facebook,https://www.facebook.com/groups/511078603213379/,2024-11-30T16:25:52.949500,advanced
vaccine reluctancy,site:facebook.com developing countries and anti-vax,"AFRIB Nation - In developing Countries, there are still ... - Facebook",https://www.facebook.com/afrib.org.ng/posts/in-developing-countries-there-are-still-lot-of-issues-surrounding-vaccination-ag/294653615593010/,2024-11-30T16:25:55.423136,advanced
vaccine reluctancy,site:facebook.com developing countries and anti-vax,Anti-Vaccination Australia - Facebook,https://www.facebook.com/antivaccinationaustralia/,2024-11-30T16:25:55.876256,advanced
vaccine reluctancy,site:facebook.com developing countries and anti-vax,Trust has increased since 2015 both... - EAHP's Student Page - Facebook,https://www.facebook.com/EAHP.students/posts/trust-has-increased-since-2015-both-in-countries-in-europe-where-anti-vax-sentim/2043479119123711/,2024-11-30T16:25:57.150648,advanced
vaccine reluctancy,site:facebook.com developing countries and anti-vax,"Dr Charlie Blackwood, one... - Warrnambool Veterinary Clinic - Facebook",https://www.facebook.com/warrnamboolvet/posts/dr-charlie-blackwood-one-of-the-clinic-partners-who-is-based-at-our-port-fairy-c/670657529681731/,2024-11-30T16:25:59.638178,advanced
vaccine reluctancy,site:facebook.com developing countries and anti-vax,VaxTrac - Developing countries have made vaccination a... - Facebook,https://www.facebook.com/VaxTracglobalhealth/posts/developing-countries-have-made-vaccination-a-major-health-priority-the-result-is/339995342730722/,2024-11-30T16:26:00.556535,advanced
vaccine reluctancy,site:facebook.com developing countries and anti-vax,Cities Alliance - The delayed #vaccination rollout in... - Facebook,https://www.facebook.com/citiesalliance/posts/the-delayed-vaccination-rollout-in-developing-countries-has-left-them-vulnerable/6092973894075909/,2024-11-30T16:26:01.512864,advanced
vaccine reluctancy,site:facebook.com developing countries and anti-vax,Anti-vax campaign on in the US! | Anti-vax campaign on in the US! # ...,https://ar-ar.facebook.com/IndiaToday/videos/anti-vax-campaign-on-in-the-us/1066458563976323/,2024-11-30T16:26:05.444004,advanced
vaccine reluctancy,site:facebook.com developing countries and anti-vax,Anti-Vax NHL Player Ruins Career After Getting COVID | An anti-vax NHL ...,https://www.facebook.com/TheYoungTurks/videos/anti-vax-nhl-player-ruins-career-after-getting-covid/230833762419359/,2024-11-30T16:26:07.981150,advanced
vaccine reluctancy,site:facebook.com developing countries and anti-vax,"The rise of vaccine hesitancy | The rise of the ""anti-vax ... - Facebook",https://www.facebook.com/Devex/videos/the-rise-of-vaccine-hesitancy/354866881843167/,2024-11-30T16:26:09.929518,advanced
vaccine reluctancy,site:facebook.com developing countries and anti-vax,7.4K views · 34 reactions | Vax Nations | The Project - Facebook,https://www.facebook.com/TheProjectTV/videos/vax-nations-the-project/290786299558429/,2024-11-30T16:26:12.195873,advanced
vaccine reluctancy,site:facebook.com developing countries and anti-vax,Vax Nations | The Project | While Australia aims for one of ... - Facebook,https://hi-in.facebook.com/TheProjectTV/videos/vax-nations-the-project/290786299558429/,2024-11-30T16:26:13.406722,advanced
vaccine reluctancy,site:facebook.com developing countries and anti-vax,Developing countries lag behind in vaccination rates - Facebook,https://www.facebook.com/CBSEveningNews/videos/developing-countries-lag-behind-in-vaccination-rates/610386010319700/,2024-11-30T16:26:15.801549,advanced
vaccine reluctancy,site:facebook.com developing countries and anti-vax,COLUMN: Vaccination rates show... - The Daily Eastern News - Facebook,https://www.facebook.com/theDailyEasternNews/posts/column-vaccination-rates-show-disparities-with-developing-countries/6659959597377649/,2024-11-30T16:26:17.210564,advanced
vaccine reluctancy,site:facebook.com developing countries and anti-vax,"Candace Owens - FACT: Bill and Melinda Gates, along with... - Facebook",https://www.facebook.com/realCandaceOwens/posts/3655805241157317/,2024-11-30T16:26:18.598117,advanced
vaccine reluctancy,site:facebook.com developing countries and anti-vax,The vaccination gap is... - Center for Global Development - Facebook,https://www.facebook.com/CGDev/posts/the-vaccination-gap-is-widening-so-once-again-the-global-community-is-calling-th/10159111959139424/,2024-11-30T16:26:19.791443,advanced
vaccine reluctancy,site:facebook.com developing countries and anti-vax,St. Claire Anti-Rabies Clinic | Cabuyao - Facebook,https://www.facebook.com/stclaireantirabiesclinic/,2024-11-30T16:26:20.839704,advanced
vaccine reluctancy,site:facebook.com developing countries and anti-vax,City of Biñan - Free Anti-rabies Mass Vaccination NO MASK... - Facebook,https://www.facebook.com/CIOBinan/posts/free-anti-rabies-mass-vaccinationno-mask-no-faceshield-no-vaccinationno-home-ser/3949979668379487/,2024-11-30T16:26:22.347631,advanced
vaccine reluctancy,site:facebook.com developing countries and anti-vax,"VAX-BABY-VAX LIVE | LIVE mula sa Lakeshore Hall, panoorin ... - Facebook",https://www.facebook.com/taguigcity/videos/vax-baby-vax-live/662618158656363/,2024-11-30T16:26:26.480645,advanced
vaccine reluctancy,site:facebook.com developing countries and anti-vax,White House: Moderna can HOARD vax recipe despite receiving ... - Facebook,https://www.facebook.com/HillTVLive/videos/white-house-moderna-can-hoard-vax-recipe-despite-receiving-10-billion-in-federal/579602743251304/,2024-11-30T16:26:28.461289,advanced
