topic,query,title,url,timestamp,search_depth
microchips in vaccines,site:facebook.com urban populations and vaccination misinformation,Fighting COVID-19 Vaccine Misinformation on Facebook and Instagram ...,https://www.facebook.com/business/news/how-facebook-addresses-covid-19-misinformation/,2024-11-30T16:31:26.273477,advanced
microchips in vaccines,site:facebook.com urban populations and vaccination misinformation,RuralVote.org - Did you know vaccination rates in rural... - Facebook,https://www.facebook.com/RuralVote/posts/did-you-know-vaccination-rates-in-rural-areas-are-7-points-behind-urban-areas-ye/368643841645613/,2024-11-30T16:31:28.519735,advanced
microchips in vaccines,site:facebook.com urban populations and vaccination misinformation,"KOSU Radio - Rural areas are considered ""critical... - Facebook",https://www.facebook.com/kosuradio/posts/rural-areas-are-considered-critical-populations-according-to-oklahomas-vaccine-p/10164313583965214/,2024-11-30T16:31:30.649572,advanced
microchips in vaccines,site:facebook.com urban populations and vaccination misinformation,Covid-19 Vaccination Related Misinformation in The Sri Lankan Social ...,https://research.facebook.com/publications/covid-19-vaccination-related-misinformation-in-the-sri-lankan-social-media-landscape/,2024-11-30T16:31:33.482038,advanced
microchips in vaccines,site:facebook.com urban populations and vaccination misinformation,Vaccine hesitancy is... - Center for Urban Community Services - Facebook,https://www.facebook.com/CUCSnyc/posts/vaccine-hesitancy-is-real-whether-their-doubts-stem-from-anxiety-around-accessin/4517415071607793/,2024-11-30T16:31:34.559961,advanced
microchips in vaccines,site:facebook.com urban populations and vaccination misinformation,How AI-powered maps help improve vaccination campaigns and rural ...,https://tech.facebook.com/artificial-intelligence/2019/4/ai-powered-maps-help-vaccination-campaigns/,2024-11-30T16:31:36.813116,advanced
microchips in vaccines,site:facebook.com urban populations and vaccination misinformation,Vaccine... - Beaumont Hospital Kidney Peer Mentors - Facebook,https://www.facebook.com/aboutkidneys/posts/vaccine-misinformation-matters-special-populations-need-special-attention/5860139714017682/,2024-11-30T16:31:38.329656,advanced
microchips in vaccines,site:facebook.com urban populations and vaccination misinformation,Misinformation Poses... - OSU Master of Public Health Program - Facebook,https://www.facebook.com/OkStateMPH/posts/misinformation-poses-threat-to-rural-covid-19-vaccination-rates-in-oklahoma-bitl/2846917265589966/,2024-11-30T16:31:38.980859,advanced
microchips in vaccines,site:facebook.com urban populations and vaccination misinformation,Misinformation about J & J... - Urban Indian Health Institute - Facebook,https://www.facebook.com/UrbanIndianHealthInstitute/posts/misinformation-about-j-j-covid-19-vaccine-is-dangerous-full-statement-linked-fro/3607875165934815/,2024-11-30T16:31:40.500542,advanced
microchips in vaccines,site:facebook.com urban populations and vaccination misinformation,Myths and misinformation about the development of the vaccines and how ...,https://www.facebook.com/ReevesRegionalHealth/videos/myths-and-misinformation-about-the-development-of-the-vaccines-and-how-they-work/284261436535323/,2024-11-30T16:31:42.426060,advanced
microchips in vaccines,site:facebook.com urban populations and vaccination misinformation,10K views · 122 reactions | Charlize Theron is working to fight vaccine ...,https://www.facebook.com/CBSMornings/videos/charlize-theron-is-working-to-fight-vaccine-misinformation-and-inequality/922206828375355/,2024-11-30T16:31:44.095246,advanced
microchips in vaccines,site:facebook.com urban populations and vaccination misinformation,Sneak peek from Vaccination from the Misinformation Virus | documentary ...,https://www.facebook.com/preshealth/videos/sneak-peek-from-vaccination-from-the-misinformation-virus/411899120201625/,2024-11-30T16:31:46.090549,advanced
microchips in vaccines,site:facebook.com urban populations and vaccination misinformation,"""There was a lot of misinformation... - Outer Urban Projects - Facebook",https://www.facebook.com/outerurbanprojects/posts/there-was-a-lot-of-misinformation-that-led-to-vaccine-hesitancy-and-led-to-peopl/6384954461546460/,2024-11-30T16:31:47.170300,advanced
microchips in vaccines,site:facebook.com urban populations and vaccination misinformation,Vaccination from the Misinformation Virus | In the age of ... - Facebook,https://www.facebook.com/NewMexicoPBS/videos/vaccination-from-the-misinformation-virus/2874786416184575/,2024-11-30T16:31:49.258625,advanced
microchips in vaccines,site:facebook.com urban populations and vaccination misinformation,Urban Economics - California's Misbegotten Misinformation... - Facebook,https://www.facebook.com/UrbanEconomicsNews/posts/2627050704096645/,2024-11-30T16:31:50.698680,advanced
microchips in vaccines,site:facebook.com urban populations and vaccination misinformation,Informed Citizens Against Vaccination Misinformation - Facebook,https://www.facebook.com/InformedCitizensAgainstVaccinationMisinformation/videos/,2024-11-30T16:31:51.499432,advanced
microchips in vaccines,site:facebook.com urban populations and vaccination misinformation,Push to Accelerate Lagging Vaccination Rates | There's a push to ...,https://www.facebook.com/9NewsMelbourne/videos/push-to-accelerate-lagging-vaccination-rates/142445214674260/,2024-11-30T16:31:55.009930,advanced
microchips in vaccines,site:facebook.com urban populations and vaccination misinformation,COVID-19 Eradication | Dr Harsh Vardhan on vaccination - Facebook,https://www.facebook.com/cnnnews18/videos/covid-19-eradication-dr-harsh-vardhan-on-vaccination-cnn-news18/2323564221122203/,2024-11-30T16:31:57.034679,advanced
microchips in vaccines,site:facebook.com urban populations and vaccination misinformation,Charlize Theron is working to fight vaccine misinformation and ...,https://www.facebook.com/CBSMornings/videos/charlize-theron-is-working-to-fight-vaccine-misinformation-and-inequality/922982891631082/,2024-11-30T16:31:58.013665,advanced
microchips in vaccines,site:facebook.com urban populations and vaccination misinformation,Promoting authoritative information about COVID-19 vaccines - Facebook,https://www.facebook.com/formedia/promoting-authoritative-information-about-covid-19-vaccines/,2024-11-30T16:31:58.994678,advanced
