topic,query,title,url,timestamp,search_depth
vaccination misinformation,site:facebook.com socioeconomic view on vaccination trends,Adult vaccination rates and... - Weill Cornell Medicine - Facebook,https://www.facebook.com/WeillCornellMedicine/posts/adult-vaccination-rates-and-socioeconomic-factors-played-a-key-role-in-childrens/10166131251885481/,2024-11-30T16:45:05.336028,advanced
vaccination misinformation,site:facebook.com socioeconomic view on vaccination trends,Data For Good at Meta COVID-19 Preventative Health Survey - Facebook,https://dataforgood.facebook.com/dfg/tools/covid-19-preventative-health-survey/,2024-11-30T16:45:06.606721,advanced
vaccination misinformation,site:facebook.com socioeconomic view on vaccination trends,Facebook Visualizations,https://dataforgood.facebook.com/dfg/visualizations/,2024-11-30T16:45:07.745246,advanced
vaccination misinformation,site:facebook.com socioeconomic view on vaccination trends,Go Corona Cure - A study yesterday in Vaccine reveals... - Facebook,https://www.facebook.com/gocoronacure.admin/posts/a-study-yesterday-in-vaccine-reveals-socioeconomic-disparities-in-county-level-c/207211831253309/,2024-11-30T16:45:08.387667,advanced
vaccination misinformation,site:facebook.com socioeconomic view on vaccination trends,A new study spotlights gaps in vaccination rates across socioeconomic ...,https://www.facebook.com/TaubCenterEnglish/posts/a-new-study-spotlights-gaps-in-vaccination-rates-across-socioeconomic-levels-the/4589773707787639/,2024-11-30T16:45:09.073409,advanced
vaccination misinformation,site:facebook.com socioeconomic view on vaccination trends,"Rich Kids, No Vaccines: Shocking Study Findings! - Facebook",https://www.facebook.com/kopegear/videos/rich-kids-no-vaccines-shocking-study-findings/1186909202406464/,2024-11-30T16:45:10.325076,advanced
vaccination misinformation,site:facebook.com socioeconomic view on vaccination trends,#COVID19 vaccine inequity will... - Arab Development Portal - Facebook,https://www.facebook.com/arabdevportal/posts/covid19-vaccine-inequity-will-have-a-deep-impact-on-socioeconomic-recovery-in-lo/3114410845458337/,2024-11-30T16:45:12.505012,advanced
vaccination misinformation,site:facebook.com socioeconomic view on vaccination trends,Interasma - Free Access: BCG vaccination and socioeconomic... - Facebook,https://www.facebook.com/GlobalAsthmaAssociation/posts/free-access-bcg-vaccination-and-socioeconomic-variables-vs-covid19-global-featur/3270172773065976/,2024-11-30T16:45:13.746884,advanced
vaccination misinformation,site:facebook.com socioeconomic view on vaccination trends,"F... - Sociedad Latinoamericana de Alergia, Asma e Inmunología - Facebook",https://www.facebook.com/slaai/posts/free-access-bcg-vaccination-and-socioeconomic-variables-vs-covid19-global-featur/3461452220583108/,2024-11-30T16:45:14.598834,advanced
vaccination misinformation,site:facebook.com socioeconomic view on vaccination trends,Vaccination... - Center for Peace and Global Citizenship - Facebook,https://www.facebook.com/haverfordcpgc/posts/vaccination-rates-race-and-socioeconomic-privilege-what-the-talking-heads-arent-/10153155724778274/,2024-11-30T16:45:15.465835,advanced
vaccination misinformation,site:facebook.com socioeconomic view on vaccination trends,"Scientia - Poor socioeconomic conditions, low health... - Facebook",https://www.facebook.com/MagazineScientia/posts/poor-socioeconomic-conditions-low-health-awareness-inadequate-vaccination-covera/1424305951101500/,2024-11-30T16:45:16.241015,advanced
vaccination misinformation,site:facebook.com socioeconomic view on vaccination trends,"Vaccination is the Key | Dr. Selvon Hazel, Chief Economist at the ...",https://www.facebook.com/OfficeOfTheChiefSecretary/posts/3837860386336383/,2024-11-30T16:45:20.272743,advanced
vaccination misinformation,site:facebook.com socioeconomic view on vaccination trends,"#UlatBayan | Vaccine hesitancy, mataas pa rin sa mga nasa ... - Facebook",https://www.facebook.com/PTVph/videos/ulatbayan-vaccine-hesitancy-mataas-pa-rin-sa-mga-nasa-class-d-at-e-na-socio-econ/756027738414248/,2024-11-30T16:45:22.274271,advanced
vaccination misinformation,site:facebook.com socioeconomic view on vaccination trends,Data For Good at Meta COVID-19 Trends and Impact Survey - Facebook,https://dataforgood.facebook.com/dfg/tools/covid-19-trends-and-impact-survey/,2024-11-30T16:45:23.717321,advanced
vaccination misinformation,site:facebook.com socioeconomic view on vaccination trends,Data For Good at Meta Home - Facebook,https://dataforgood.facebook.com/dfg/,2024-11-30T16:45:25.178216,advanced
vaccination misinformation,site:facebook.com socioeconomic view on vaccination trends,ADVISORY NEED HELP... - Baguio City Public Information Office - Facebook,https://www.facebook.com/pio.baguio/posts/advisoryneed-help-downloading-your-covid-19-vaccination-qr-passport-and-vaccinat/808324683152989/,2024-11-30T16:45:27.112830,advanced
vaccination misinformation,site:facebook.com socioeconomic view on vaccination trends,"Today, the WHO and global health partners convene at the ""Health and ...",https://www.facebook.com/WHOEMRO/posts/today-the-who-and-global-health-partners-convene-at-the-health-and-the-impact-of/1049024319069405/,2024-11-30T16:45:28.559645,advanced
vaccination misinformation,site:facebook.com socioeconomic view on vaccination trends,Missin... - Socioeconomic Data and Applications Center (SEDAC) - Facebook,https://www.facebook.com/socioeconomicdataandappsctr/posts/missing-or-inaccurate-settlement-data-leads-to-missing-vaccination-targets-expla/5919518134787001/,2024-11-30T16:45:29.574463,advanced
vaccination misinformation,site:facebook.com socioeconomic view on vaccination trends,Ad Library - Facebook,https://www.facebook.com/ads/library/,2024-11-30T16:45:32.105146,advanced
vaccination misinformation,site:facebook.com socioeconomic view on vaccination trends,Should I Take the Covid Vaccine,https://www.facebook.com/AWMinistries/videos/should-i-take-the-covid-vaccine/517028813058413/,2024-11-30T16:45:35.295030,advanced
