topic,query,title,url,timestamp,search_depth
vaccination myths,site:facebook.com access to vaccines and vaccination trends,Pharmacy Times - Decreased access to vaccination sites may ... - Facebook,https://www.facebook.com/PharmacyTimes/posts/decreased-access-to-vaccination-sites-may-be-an-overlooked-barrier-to-covid-19-i/10159690986719160/,2024-11-30T17:05:55.028707,advanced
vaccination myths,site:facebook.com access to vaccines and vaccination trends,CBS FM - AD Come to Vaccine Access Initiative for... - Facebook,https://www.facebook.com/CBSFmUG/posts/adcome-to-vaccine-access-initiative-for-convenient-vaccination-and-immunization-/5282069855241547/,2024-11-30T17:05:55.826375,advanced
vaccination myths,site:facebook.com access to vaccines and vaccination trends,Facebook Newsroom: Supporting Equitable Access to COVID-19 Vaccines,https://business.facebook.com/government-nonprofits/blog/facebook-newsroom-supporting-equitable-access-to-covid-19-vaccines/,2024-11-30T17:05:56.883526,advanced
vaccination myths,site:facebook.com access to vaccines and vaccination trends,Current Trends in #Vaccines and... - Boffin Access Limited - Facebook,https://www.facebook.com/boffinaccesslimited/posts/current-trends-in-vaccines-and-vaccinologyfamily-physician-and-patient-care-staf/465812554188103/,2024-11-30T17:05:57.874307,advanced
vaccination myths,site:facebook.com access to vaccines and vaccination trends,Starschema - Use the US Vaccination and Mobility Trends... - Facebook,https://www.facebook.com/starschema/posts/use-the-us-vaccination-and-mobility-trends-dashboard-to-visualize-the-vaccine-ro/5639174109457816/,2024-11-30T17:05:58.319473,advanced
vaccination myths,site:facebook.com access to vaccines and vaccination trends,Data For Good at Meta COVID-19 Trends and Impact Survey - Facebook,https://dataforgood.facebook.com/dfg/tools/covid-19-trends-and-impact-survey/,2024-11-30T17:05:59.751343,advanced
vaccination myths,site:facebook.com access to vaccines and vaccination trends,Adult Vaccine Access Coalition - Facebook,https://www.facebook.com/AVACnow/,2024-11-30T17:06:00.516547,advanced
vaccination myths,site:facebook.com access to vaccines and vaccination trends,Corona #Vaccination trends in... - Good morning #Daporijo - Facebook,https://www.facebook.com/onlinemediahousedaporijo/posts/corona-vaccination-trends-in-indianew-science-is-emerging-in-vaccine-technology-/493946008699000/,2024-11-30T17:06:01.631651,advanced
vaccination myths,site:facebook.com access to vaccines and vaccination trends,Data For Good Tools and Data - Facebook,https://dataforgood.facebook.com/dfg/tools/,2024-11-30T17:06:03.403205,advanced
vaccination myths,site:facebook.com access to vaccines and vaccination trends,Dynata's new Global Consumer Trends Report: Health Edition ... - Facebook,https://www.facebook.com/DynataGlobal/videos/dynatas-new-global-consumer-trends-report-health-edition-explores-consumer-enthu/1148162155639789/,2024-11-30T17:06:04.087248,advanced
vaccination myths,site:facebook.com access to vaccines and vaccination trends,Facebook's Ongoing Commitment to Safety and Integrity,https://www.facebook.com/business/news/facebooks-commitment-to-safety-and-integrity/,2024-11-30T17:06:21.940427,advanced
vaccination myths,site:facebook.com access to vaccines and vaccination trends,Promoting authoritative information about COVID-19 vaccines - Facebook,https://www.facebook.com/formedia/promoting-authoritative-information-about-covid-19-vaccines/,2024-11-30T17:06:22.673149,advanced
vaccination myths,site:facebook.com access to vaccines and vaccination trends,Data For Good at Meta COVID-19 Preventative Health Survey - Facebook,https://dataforgood.facebook.com/dfg/tools/covid-19-preventative-health-survey/,2024-11-30T17:06:23.680795,advanced
vaccination myths,site:facebook.com access to vaccines and vaccination trends,COVID VACCINE and VACCINATION | COVID-19 and Vaccination ... - Facebook,https://www.facebook.com/Doctor.Desk.1/videos/covid-vaccine-and-vaccination/967973120668231/,2024-11-30T17:06:25.393400,advanced
vaccination myths,site:facebook.com access to vaccines and vaccination trends,COVID in Africa: A Symposium on Vaccine Hesitancy and Access - Facebook,https://www.facebook.com/AmrefHealthAfrica/videos/covid-in-africa-a-symposium-on-vaccine-hesitancy-and-access-evidence-from-the-fi/823997228522574/,2024-11-30T17:06:26.947542,advanced
vaccination myths,site:facebook.com access to vaccines and vaccination trends,New lessons learned in building COVID-19 vaccine acceptance,https://research.facebook.com/blog/2022/4/new-lessons-learned-in-building-covid-19-vaccine-acceptance/,2024-11-30T17:06:29.566549,advanced
vaccination myths,site:facebook.com access to vaccines and vaccination trends,Dr. Karen Kennedy Healthy Conversations | Dr. Karen Kennedy ... - Facebook,https://www.facebook.com/TrinityHealthLivonia/videos/dr-karen-kennedy-healthy-conversations/406869593925945/,2024-11-30T17:06:30.795280,advanced
vaccination myths,site:facebook.com access to vaccines and vaccination trends,COVID-19 Bridge Access Program | The updated COVID-19 vaccine is free ...,https://www.facebook.com/cdc/videos/covid-19-bridge-access-program/1370142513577450/,2024-11-30T17:06:33.122024,advanced
vaccination myths,site:facebook.com access to vaccines and vaccination trends,Michigan For Vaccine Choice Community Members - Facebook,https://www.facebook.com/groups/1622857361354765/posts/3456395818000901/,2024-11-30T17:06:33.833248,advanced
vaccination myths,site:facebook.com access to vaccines and vaccination trends,"WATCH: Dr Vanessa Saliba, Consultant Epidemiologist at UKHSA ... - Facebook",https://www.facebook.com/UKHealthSecurityAgency/videos/watch-dr-vanessa-saliba-consultant-epidemiologist-at-ukhsa-explains-the-differen/2886640601631251/,2024-11-30T17:06:36.756934,advanced
