topic,query,title,url,timestamp,search_depth
vaccine programs,site:facebook.com religious view on vaccine programs,THE PHARMACEUTICAL INDUSTRY IS ATTACKING FREEDOM OF RELIGION - Facebook,https://www.facebook.com/NVICP/videos/the-pharmaceutical-industry-is-attacking-freedom-of-religion/984944815028453/,2024-11-30T17:09:29.111411,advanced
vaccine programs,site:facebook.com religious view on vaccine programs,Religious communities play a critical role in combating #vaccine ...,https://www.facebook.com/Faiths4Vaccines/videos/223123912593993/,2024-11-30T17:09:30.022640,advanced
vaccine programs,site:facebook.com religious view on vaccine programs,How Churches Are Influencing Vaccine Decisions | Many religious leaders ...,https://www.facebook.com/KPBSSanDiego/videos/how-churches-are-influencing-vaccine-decisions/424334618541245/,2024-11-30T17:09:30.991599,advanced
vaccine programs,site:facebook.com religious view on vaccine programs,Pastors preach COVID-19 vaccination as God's healing power - Facebook,https://www.facebook.com/ABCNewsLive/videos/pastors-preach-covid-19-vaccination-as-gods-healing-power/2020110178130531/,2024-11-30T17:09:32.800830,advanced
vaccine programs,site:facebook.com religious view on vaccine programs,Covid-19 vaccines and the danger of religious misinformation,https://www.facebook.com/bbcnews/videos/covid-19-vaccines-and-the-danger-of-religious-misinformation/741963306518135/,2024-11-30T17:09:33.707128,advanced
vaccine programs,site:facebook.com religious view on vaccine programs,WTEN - What are religious leaders saying about the... | Facebook,https://www.facebook.com/wten.albany/posts/what-are-religious-leaders-saying-about-the-covid-19-vaccines/10166043100080195/,2024-11-30T17:09:36.066254,advanced
vaccine programs,site:facebook.com religious view on vaccine programs,Religious Vaccine Exemptions | Questions regarding Religious Exemptions ...,https://www.facebook.com/ViennaFirstTheWorldNext/videos/religious-vaccine-exemptions/2015935831893633/,2024-11-30T17:09:39.157658,advanced
vaccine programs,site:facebook.com religious view on vaccine programs,Sight Magazine - Vaccine mandates: Many US faith leaders... - Facebook,https://www.facebook.com/sightmag/posts/vaccine-mandates-many-us-faith-leaders-wary-of-religious-exemptions-for-vaccine-/330779482391596/,2024-11-30T17:09:39.804792,advanced
vaccine programs,site:facebook.com religious view on vaccine programs,MSNBC - Most of America's religious groups have no... - Facebook,https://www.facebook.com/msnbc/posts/most-of-americas-religious-groups-have-no-objections-to-vaccines-or-mandates-in-/5691887857574086/,2024-11-30T17:09:43.384682,advanced
vaccine programs,site:facebook.com religious view on vaccine programs,15K views · 342 reactions | Which religions actually forbid vaccination ...,https://www.facebook.com/politifact/videos/which-religions-actually-forbid-vaccination/899246194030537/,2024-11-30T17:09:46.190964,advanced
vaccine programs,site:facebook.com religious view on vaccine programs,Government should implement guidelines on vaccine religious ... - Facebook,https://www.facebook.com/cnn/videos/government-should-implement-guidelines-on-vaccine-religious-exemptions-professor/576225780085516/,2024-11-30T17:09:50.474953,advanced
vaccine programs,site:facebook.com religious view on vaccine programs,MassLive - Cora Cluett is arguing that UMass Boston's... - Facebook,https://www.facebook.com/masslive/posts/cora-cluett-is-arguing-that-umass-bostons-denial-of-her-request-for-religious-ex/10158719011987029/,2024-11-30T17:09:51.833828,advanced
vaccine programs,site:facebook.com religious view on vaccine programs,St. Augustine's Religious Education Program - Facebook,https://www.facebook.com/StAugustinesReligiousEducation/,2024-11-30T17:09:52.795230,advanced
vaccine programs,site:facebook.com religious view on vaccine programs,Religious Vaccine Exemptions: What Are They & How Do They Work ...,https://www.facebook.com/thedailyshow/videos/religious-vaccine-exemptions-what-are-they-how-do-they-work/404948981043261/,2024-11-30T17:09:54.732128,advanced
vaccine programs,site:facebook.com religious view on vaccine programs,"The World Over August 12, 2021 | RELIGIOUS EXEMPTIONS FOR COVID ...",https://www.facebook.com/ewtnonline/videos/the-world-over-august-12-2021-religious-exemptions-for-covid-vaccinesphilip-lawl/271424171056682/,2024-11-30T17:09:56.833567,advanced
vaccine programs,site:facebook.com religious view on vaccine programs,Respecting Religion: S3E3 | What are the questions we need ... - Facebook,https://www.facebook.com/ReligiousLiberty/videos/respecting-religion-s3e3/597450958070196/,2024-11-30T17:10:00.009870,advanced
vaccine programs,site:facebook.com religious view on vaccine programs,7.8K views · 28 reactions | What qualifies as a medical or religious ...,https://www.facebook.com/newscentermaine/videos/what-qualifies-as-a-medical-or-religious-exemption-from-the-covid-19-vaccine-mai/309325504280392/,2024-11-30T17:10:01.780545,advanced
vaccine programs,site:facebook.com religious view on vaccine programs,Sacred Science: Gleaning Wisdom From Science and Religion ... - Facebook,https://hi-in.facebook.com/jewishLIVE/videos/sacred-science-gleaning-wisdom-from-science-and-religion-with-rabbi-geoff-mitelm/459193225104025/,2024-11-30T17:10:07.083719,advanced
vaccine programs,site:facebook.com religious view on vaccine programs,"Senior pastor leads talk on faith, science and vaccines ... - Facebook",https://pt-pt.facebook.com/goodsamaritansociety/videos/senior-pastor-leads-talk-on-faith-science-and-vaccines/318481756699073/,2024-11-30T17:10:08.422083,advanced
vaccine programs,site:facebook.com religious view on vaccine programs,"Ep. 30 - Vaccines, Lies, And Tyranny | tyrant, business - Facebook",https://it-it.facebook.com/johnlcooperstuff/videos/ep-30-vaccines-lies-and-tyranny/417204619736416/,2024-11-30T17:10:11.097618,advanced
