topic,query,title,url,timestamp,search_depth
vaccine safety,site:facebook.com developing countries view on microchips in vaccines,FACT: Vaccines do not contain microchips. Microchips have ... - Facebook,https://www.facebook.com/bentoncountypublichealth/videos/fact-vaccines-do-not-contain-microchips-microchips-have-never-been-used-in-vacci/650073883010901/,2024-11-30T17:14:00.190171,advanced
vaccine safety,site:facebook.com developing countries view on microchips in vaccines,Good Day Utah - You've likely heard the myth about GPS ... - Facebook,https://www.facebook.com/gooddayutah/posts/youve-likely-heard-the-myth-about-gps-tracking-microchips-in-covid-19-vaccines-b/10159084911441346/,2024-11-30T17:14:02.197351,advanced
vaccine safety,site:facebook.com developing countries view on microchips in vaccines,Tech Talk: No microchips in COVID-19 vaccines - Facebook,https://www.facebook.com/jordyjournokstu/videos/tech-talk-no-microchips-in-covid-19-vaccines/858185435050762/,2024-11-30T17:14:03.298782,advanced
vaccine safety,site:facebook.com developing countries view on microchips in vaccines,AFP Fact Check - A video viewed thousands of times in...,https://www.facebook.com/AFPFactCheck/posts/a-video-viewed-thousands-of-times-in-social-media-posts-is-accompanied-by-the-fa/2339595006184958/,2024-11-30T17:14:03.873222,advanced
vaccine safety,site:facebook.com developing countries view on microchips in vaccines,FactCheck.org - A viral video falsely claims that vaccines... - Facebook,https://www.facebook.com/factcheck.org/posts/a-viral-video-falsely-claims-that-vaccines-for-covid-19-have-a-microchip-that-tr/10158463416158612/,2024-11-30T17:14:05.689221,advanced
vaccine safety,site:facebook.com developing countries view on microchips in vaccines,"Microchips,... - SpringAid International Development - SAID UK - Facebook",https://www.facebook.com/springaid.co/posts/4168030553219332/,2024-11-30T17:14:06.943763,advanced
vaccine safety,site:facebook.com developing countries view on microchips in vaccines,"Microchips, Vaccines and the true mark of the beast....Rev. Dr. N ...",https://www.facebook.com/BYOSPOKENWORD/videos/microchips-vaccines-and-the-true-mark-of-the-beastrev-dr-n-ngwenya/3671647039569043/,2024-11-30T17:14:07.637699,advanced
vaccine safety,site:facebook.com developing countries view on microchips in vaccines,Swedish company creates implanted microchip with COVID vaccine passport ...,https://www.facebook.com/aljazeera/videos/swedish-company-creates-implanted-microchip-with-covid-vaccine-passport/401224175019827/,2024-11-30T17:14:10.412764,advanced
vaccine safety,site:facebook.com developing countries view on microchips in vaccines,Half of Americans Think It's Possible Vaccines Implant Microchips ...,https://www.facebook.com/davidpakmanshow/videos/half-of-americans-think-its-possible-vaccines-implant-microchips/4722097507804586/,2024-11-30T17:14:11.879994,advanced
vaccine safety,site:facebook.com developing countries view on microchips in vaccines,TheDoctorResponds | Do vaccines have microchips in them? - Facebook,https://www.facebook.com/NHCOA/videos/thedoctorresponds-do-vaccines-have-microchips-in-them/4658171454193180/,2024-11-30T17:14:12.832308,advanced
vaccine safety,site:facebook.com developing countries view on microchips in vaccines,Scientists Are Developing Injectable Microchips... But Not For Vaccines ...,https://www.facebook.com/vicenews/videos/scientists-are-developing-injectable-microchips-but-not-for-vaccines/571986537304235/,2024-11-30T17:14:14.494651,advanced
vaccine safety,site:facebook.com developing countries view on microchips in vaccines,KSL 5 TV - PLAN YOUR VACCINE FACT #6: There are no... - Facebook,https://www.facebook.com/ksltv/posts/plan-your-vaccine-fact-6-there-are-no-microchips-or-tracking-devices-in-vaccines/10159712726558676/,2024-11-30T17:14:15.508934,advanced
vaccine safety,site:facebook.com developing countries view on microchips in vaccines,"Debunking the Bill Gates ""Microchip"" Vaccine Conspiracy - Facebook",https://www.facebook.com/viceasia/videos/debunking-the-bill-gates-microchip-vaccine-conspiracy/536547780878074/,2024-11-30T17:14:16.763311,advanced
vaccine safety,site:facebook.com developing countries view on microchips in vaccines,Introducing #vaccines in... - Hilleman Laboratories - Facebook,https://www.facebook.com/HillemanLab/posts/introducing-vaccines-in-developing-countries-carries-its-own-set-of-limitations-/1876278652399797/,2024-11-30T17:14:17.408321,advanced
vaccine safety,site:facebook.com developing countries view on microchips in vaccines,Why Africa and developing countries need to produce vaccines locally ...,https://www.facebook.com/umweafrica/videos/why-africa-and-developing-countries-need-to-produce-vaccines-locally/350177809775324/,2024-11-30T17:14:19.188227,advanced
vaccine safety,site:facebook.com developing countries view on microchips in vaccines,Unequal vaccine deployment 'risks international development' | Socio ...,https://th-th.facebook.com/bbcnews/videos/unequal-vaccine-deployment-risks-international-development/246763850381990/,2024-11-30T17:14:20.322473,advanced
vaccine safety,site:facebook.com developing countries view on microchips in vaccines,RECAP | COVID-19: Vaccines for Developing Countries - Facebook,https://www.facebook.com/worldbank/videos/recap-covid-19-vaccines-for-developing-countries/765423351015725/,2024-11-30T17:14:20.967549,advanced
vaccine safety,site:facebook.com developing countries view on microchips in vaccines,Scientists Are Developing Injectable Microchips... But Not For Vaccines ...,https://www.facebook.com/vicenews/videos/scientists-are-developing-injectable-microchips-but-not-for-vaccines/627678738401681/,2024-11-30T17:14:22.690497,advanced
vaccine safety,site:facebook.com developing countries view on microchips in vaccines,"Microchips in Vaccines! | government, integrated circuit, mobile app ...",https://www.facebook.com/BenPenningsPublic/videos/microchips-in-vaccines/2056995301105187/,2024-11-30T17:14:24.608716,advanced
vaccine safety,site:facebook.com developing countries view on microchips in vaccines,CityVAX is offering affordable microchipping services! After ... - Facebook,https://www.facebook.com/CityVAXlowcostpetvaccinations/videos/cityvax-is-offering-affordable-microchipping-services-after-quick-and-easy-imple/691593233075504/,2024-11-30T17:14:26.428024,advanced
